Result_Date,People_Tested,People_Tested_Rate
02/01/2020,0,      0.00
02/02/2020,0,      0.00
02/03/2020,0,      0.00
02/04/2020,1,      0.04
02/05/2020,1,      0.04
02/06/2020,0,      0.00
02/07/2020,0,      0.00
02/08/2020,0,      0.00
02/09/2020,0,      0.00
02/10/2020,0,      0.00
02/11/2020,0,      0.00
02/12/2020,0,      0.00
02/13/2020,0,      0.00
02/14/2020,0,      0.00
02/15/2020,0,      0.00
02/16/2020,0,      0.00
02/17/2020,0,      0.00
02/18/2020,0,      0.00
02/19/2020,0,      0.00
02/20/2020,1,      0.04
02/21/2020,0,      0.00
02/22/2020,0,      0.00
02/23/2020,0,      0.00
02/24/2020,0,      0.00
02/25/2020,0,      0.00
02/26/2020,0,      0.00
02/27/2020,1,      0.04
02/28/2020,5,      0.22
02/29/2020,3,      0.13
03/01/2020,13,      0.58
03/02/2020,17,      0.76
03/03/2020,24,      1.08
03/04/2020,154,      6.92
03/05/2020,100,      4.49
03/06/2020,147,      6.60
03/07/2020,168,      7.55
03/08/2020,288,     12.94
03/09/2020,213,      9.57
03/10/2020,346,     15.54
03/11/2020,597,     26.82
03/12/2020,550,     24.70
03/13/2020,721,     32.39
03/14/2020,790,     35.48
03/15/2020,730,     32.79
03/16/2020,690,     30.99
03/17/2020,1004,     45.10
03/18/2020,1103,     49.54
03/19/2020,842,     37.82
03/20/2020,1263,     56.73
03/21/2020,1267,     56.91
03/22/2020,966,     43.39
03/23/2020,892,     40.07
03/24/2020,1136,     51.03
03/25/2020,1381,     62.03
03/26/2020,1674,     75.19
03/27/2020,1675,     75.24
03/28/2020,1352,     60.73
03/29/2020,1332,     59.83
03/30/2020,1052,     47.25
03/31/2020,1130,     50.76
04/01/2020,1563,     70.21
04/02/2020,1412,     63.42
04/03/2020,1482,     66.57
04/04/2020,1050,     47.16
04/05/2020,858,     38.54
04/06/2020,1139,     51.16
04/07/2020,989,     44.42
04/08/2020,1535,     68.95
04/09/2020,1814,     81.48
04/10/2020,1404,     63.06
04/11/2020,1419,     63.74
04/12/2020,713,     32.03
04/13/2020,739,     33.19
04/14/2020,1267,     56.91
04/15/2020,1575,     70.75
04/16/2020,1258,     56.51
04/17/2020,1452,     65.22
04/18/2020,1446,     64.95
04/19/2020,990,     44.47
04/20/2020,752,     33.78
04/21/2020,1206,     54.17
04/22/2020,1599,     71.82
04/23/2020,1393,     62.57
04/24/2020,1334,     59.92
04/25/2020,1327,     59.61
04/26/2020,960,     43.12
04/27/2020,1236,     55.52
04/28/2020,1683,     75.60
04/29/2020,1477,     66.34
04/30/2020,1611,     72.36
05/01/2020,1552,     69.71
05/02/2020,1078,     48.42
05/03/2020,1116,     50.13
05/04/2020,1126,     50.58
05/05/2020,1284,     57.67
05/06/2020,2007,     90.15
05/07/2020,1361,     61.13
05/08/2020,1741,     78.20
05/09/2020,1284,     57.67
05/10/2020,689,     30.95
05/11/2020,1162,     52.19
05/12/2020,974,     43.75
05/13/2020,1311,     58.89
05/14/2020,1398,     62.79
05/15/2020,1497,     67.24
05/16/2020,1156,     51.92
05/17/2020,1104,     49.59
05/18/2020,1356,     60.91
05/19/2020,1216,     54.62
05/20/2020,1177,     52.87
05/21/2020,1524,     68.45
05/22/2020,1184,     53.18
05/23/2020,930,     41.77
05/24/2020,858,     38.54
05/25/2020,714,     32.07
05/26/2020,1408,     63.24
05/27/2020,1623,     72.90
05/28/2020,1142,     51.30
05/29/2020,1107,     49.72
05/30/2020,1501,     67.42
05/31/2020,1166,     52.37
06/01/2020,1063,     47.75
06/02/2020,1244,     55.88
06/03/2020,1215,     54.57
06/04/2020,1649,     74.07
06/05/2020,1707,     76.67
