Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
All King County,2226300,801551,  36003.73,1518977,  68228.77,72600,   3261.02,4617,    207.38,1185,     53.23
Algona,3190,1044,  32727.27,1578,  49467.08,241,   7554.86,13,    407.52,1,     31.35
Auburn,71740,24905,  34715.64,40058,  55837.75,4780,   6662.95,328,    457.21,75,    104.54
Beaux Arts Village,300,162,  54000.00,278,  92666.67,10,   3333.33,1,    333.33,0,      0.00
Bellevue,145300,42224,  29059.88,67765,  46637.99,2950,   2030.28,209,    143.84,50,     34.41
Black Diamond,4525,1520,  33591.16,2285,  50497.24,106,   2342.54,3,     66.30,1,     22.10
Bothell,28570,8514,  29800.49,13910,  48687.43,656,   2296.11,36,    126.01,14,     49.00
Boulevard Park,3723,1439,  38651.63,2537,  68143.97,221,   5936.07,14,    376.04,1,     26.86
Bryn Mawr-Skyway,18347,5682,  30969.64,10340,  56357.99,711,   3875.29,38,    207.12,9,     49.05
Burien,52000,18112,  34830.77,32125,  61778.85,2444,   4700.00,178,    342.31,33,     63.46
Carnation,2220,473,  21306.31,738,  33243.24,49,   2207.21,1,     45.05,0,      0.00
Clyde Hill,3055,1076,  35220.95,1907,  62422.26,69,   2258.59,3,     98.20,1,     32.73
Cottage Lake,23955,6095,  25443.54,9276,  38722.60,345,   1440.20,17,     70.97,5,     20.87
Covington,20280,5954,  29358.97,9175,  45241.62,785,   3870.81,43,    212.03,7,     34.52
Des Moines,31580,11345,  35924.64,21631,  68495.88,1665,   5272.32,88,    278.66,17,     53.83
Duvall,7840,2139,  27283.16,3130,  39923.47,153,   1951.53,4,     51.02,1,     12.76
East Renton Highlands,11745,3513,  29910.60,5550,  47254.15,309,   2630.91,17,    144.74,5,     42.57
Enumclaw,12200,4396,  36032.79,6813,  55844.26,520,   4262.30,47,    385.25,28,    229.51
Fairwood,19428,5020,  25839.00,7888,  40601.19,572,   2944.20,31,    159.56,10,     51.47
Fall City,2313,587,  25378.30,919,  39731.95,51,   2204.93,1,     43.23,0,      0.00
