City,Week_Start,Week_End,Positives,Positive_Rate,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
Algona,01/24/2020,02/07/2020,0,      0.00,0,      0.00,0,      0.00,0,      0.00,0,      0.00
Algona,02/08/2020,02/22/2020,0,      0.00,0,      0.00,0,      0.00,0,      0.00,0,      0.00
Algona,02/23/2020,03/08/2020,0,      0.00,0,      0.00,0,      0.00,1,     31.34,0,      0.00
Algona,03/09/2020,03/23/2020,1,     31.34,12,    376.06,13,    407.40,0,      0.00,0,      0.00
Algona,03/24/2020,04/07/2020,10,    313.38,29,    908.81,32,   1002.82,2,     62.68,1,     31.34
Algona,04/08/2020,04/22/2020,4,    125.35,25,    783.45,27,    846.13,1,     31.34,0,      0.00
Algona,04/23/2020,05/07/2020,13,    407.40,32,   1002.82,37,   1159.51,1,     31.34,0,      0.00
Algona,05/08/2020,05/22/2020,6,    188.03,21,    658.10,28,    877.47,0,      0.00,0,      0.00
Algona,05/23/2020,06/06/2020,0,      0.00,29,    908.81,42,   1316.20,0,      0.00,0,      0.00
Algona,06/07/2020,06/21/2020,0,      0.00,22,    689.44,29,    908.81,0,      0.00,0,      0.00
Algona,06/22/2020,07/06/2020,6,    188.03,31,    971.48,42,   1316.20,0,      0.00,0,      0.00
Algona,07/07/2020,07/21/2020,12,    376.06,49,   1535.57,65,   2036.98,0,      0.00,0,      0.00
Algona,07/22/2020,08/05/2020,13,    407.40,68,   2130.99,89,   2789.09,0,      0.00,0,      0.00
Algona,08/06/2020,08/20/2020,8,    250.71,57,   1786.27,82,   2569.73,0,      0.00,0,      0.00
Algona,08/21/2020,09/04/2020,1,     31.34,45,   1410.22,63,   1974.30,0,      0.00,0,      0.00
Algona,09/05/2020,09/19/2020,7,    219.37,47,   1472.89,70,   2193.67,0,      0.00,0,      0.00
Algona,09/20/2020,10/04/2020,2,     62.68,34,   1065.50,58,   1817.61,0,      0.00,0,      0.00
Algona,10/05/2020,10/19/2020,7,    219.37,64,   2005.64,91,   2851.77,1,     31.34,0,      0.00
Algona,10/20/2020,11/03/2020,10,    313.38,66,   2068.32,106,   3321.84,1,     31.34,0,      0.00
Algona,11/04/2020,11/18/2020,22,    689.44,89,   2789.09,154,   4826.07,1,     31.34,0,      0.00
Algona,11/19/2020,12/03/2020,26,    814.79,81,   2538.39,146,   4575.37,1,     31.34,0,      0.00
Algona,12/04/2020,12/18/2020,43,   1347.54,112,   3509.87,192,   6016.92,1,     31.34,0,      0.00
Algona,12/19/2020,01/02/2021,16,    501.41,73,   2287.68,136,   4261.99,1,     31.34,0,      0.00
Algona,01/03/2021,01/17/2021,34,   1065.50,58,   1817.61,76,   2381.70,2,     62.68,0,      0.00
Auburn,01/24/2020,02/07/2020,0,      0.00,0,      0.00,0,      0.00,0,      0.00,0,      0.00
Auburn,02/08/2020,02/22/2020,0,      0.00,0,      0.00,0,      0.00,0,      0.00,0,      0.00
Auburn,02/23/2020,03/08/2020,1,      1.26,9,     11.38,10,     12.64,4,      5.06,0,      0.00
Auburn,03/09/2020,03/23/2020,17,     21.49,273,    345.09,316,    399.44,10,     12.64,1,      1.26
Auburn,03/24/2020,04/07/2020,121,    152.95,582,    735.68,645,    815.32,20,     25.28,2,      2.53
Auburn,04/08/2020,04/22/2020,113,    142.84,526,    664.90,614,    776.13,26,     32.87,7,      8.85
Auburn,04/23/2020,05/07/2020,95,    120.09,636,    803.94,798,   1008.72,9,     11.38,2,      2.53
Auburn,05/08/2020,05/22/2020,68,     85.96,608,    768.55,860,   1087.09,10,     12.64,2,      2.53
Auburn,05/23/2020,06/06/2020,42,     53.09,522,    659.84,697,    881.05,8,     10.11,3,      3.79
Auburn,06/07/2020,06/21/2020,61,     77.11,807,   1020.10,1083,   1368.98,5,      6.32,0,      0.00
Auburn,06/22/2020,07/06/2020,105,    132.73,966,   1221.08,1288,   1628.11,10,     12.64,2,      2.53
Auburn,07/07/2020,07/21/2020,178,    225.00,1229,   1553.53,1633,   2064.21,6,      7.58,2,      2.53
Auburn,07/22/2020,08/05/2020,174,    219.95,1502,   1898.62,2134,   2697.51,9,     11.38,2,      2.53
Auburn,08/06/2020,08/20/2020,154,    194.67,1300,   1643.28,2201,   2782.20,12,     15.17,2,      2.53
Auburn,08/21/2020,09/04/2020,116,    146.63,1197,   1513.08,1847,   2334.72,6,      7.58,0,      0.00
Auburn,09/05/2020,09/19/2020,91,    115.03,1002,   1266.59,1605,   2028.82,8,     10.11,0,      0.00
Auburn,09/20/2020,10/04/2020,123,    155.48,1061,   1341.17,1864,   2356.21,6,      7.58,1,      1.26
Auburn,10/05/2020,10/19/2020,140,    176.97,1331,   1682.47,2404,   3038.81,9,     11.38,4,      5.06
Auburn,10/20/2020,11/03/2020,193,    243.96,1568,   1982.05,2710,   3425.61,6,      7.58,3,      3.79
Auburn,11/04/2020,11/18/2020,527,    666.16,2021,   2554.67,3644,   4606.24,20,     25.28,0,      0.00
Auburn,11/19/2020,12/03/2020,780,    985.97,2633,   3328.28,4378,   5534.07,38,     48.03,10,     12.64
Auburn,12/04/2020,12/18/2020,788,    996.08,2619,   3310.58,4600,   5814.69,41,     51.83,10,     12.64
Auburn,12/19/2020,01/02/2021,433,    547.34,1567,   1980.79,3135,   3962.84,33,     41.71,16,     20.23
Auburn,01/03/2021,01/17/2021,457,    577.68,935,   1181.90,1576,   1992.16,32,     40.45,6,      7.58
Beaux Arts Village,01/24/2020,02/07/2020,0,      0.00,0,      0.00,0,      0.00,0,      0.00,0,      0.00
Beaux Arts Village,02/08/2020,02/22/2020,0,      0.00,0,      0.00,0,      0.00,0,      0.00,0,      0.00
Beaux Arts Village,02/23/2020,03/08/2020,0,      0.00,0,      0.00,0,      0.00,0,      0.00,0,      0.00
Beaux Arts Village,03/09/2020,03/23/2020,1,    253.81,3,    761.42,3,    761.42,0,      0.00,0,      0.00
Beaux Arts Village,03/24/2020,04/07/2020,2,    507.61,5,   1269.04,6,   1522.84,1,    253.81,0,      0.00
Beaux Arts Village,04/08/2020,04/22/2020,0,      0.00,4,   1015.23,4,   1015.23,0,      0.00,0,      0.00
Beaux Arts Village,04/23/2020,05/07/2020,0,      0.00,2,    507.61,2,    507.61,0,      0.00,0,      0.00
Beaux Arts Village,05/08/2020,05/22/2020,0,      0.00,4,   1015.23,7,   1776.65,0,      0.00,0,      0.00
Beaux Arts Village,05/23/2020,06/06/2020,0,      0.00,2,    507.61,4,   1015.23,0,      0.00,0,      0.00
Beaux Arts Village,06/07/2020,06/21/2020,0,      0.00,7,   1776.65,9,   2284.26,0,      0.00,0,      0.00
Beaux Arts Village,06/22/2020,07/06/2020,1,    253.81,9,   2284.26,10,   2538.07,0,      0.00,0,      0.00
Beaux Arts Village,07/07/2020,07/21/2020,1,    253.81,10,   2538.07,17,   4314.72,0,      0.00,0,      0.00
Beaux Arts Village,07/22/2020,08/05/2020,0,      0.00,12,   3045.69,13,   3299.49,0,      0.00,0,      0.00
Beaux Arts Village,08/06/2020,08/20/2020,0,      0.00,16,   4060.91,25,   6345.18,0,      0.00,0,      0.00
