Location,Age_Group,Population,Week,People_Tested,All_Test_Results,Positives,Hospitalizations,Deaths
All King County,0-9,257228.65,01/06/21 - 01/12/21,880,894,214,2,0
All King County,10-19,254148.03,01/06/21 - 01/12/21,2481,2535,398,4,0
All King County,20-29,207537.14,01/06/21 - 01/12/21,6413,6682,886,6,0
All King County,30-39,394262.07,01/06/21 - 01/12/21,4936,5093,753,6,1
All King County,40-49,296609.58,01/06/21 - 01/12/21,3324,3462,547,16,0
All King County,50-59,270375.02,01/06/21 - 01/12/21,2977,3119,430,22,2
All King County,60-69,219475.51,01/06/21 - 01/12/21,2067,2170,285,29,5
All King County,70-79,122090.34,01/06/21 - 01/12/21,1167,1235,139,33,10
All King County,80+,61987.13,01/06/21 - 01/12/21,842,927,124,36,16
All King County,Unknown,0,01/06/21 - 01/12/21,99,99,5,0,0
All King County,0-9,257228.65,01/13/21 - 01/19/21,717,722,137,1,0
All King County,10-19,254148.03,01/13/21 - 01/19/21,1255,1273,232,1,0
All King County,20-29,207537.14,01/13/21 - 01/19/21,3724,3840,510,2,0
All King County,30-39,394262.07,01/13/21 - 01/19/21,3199,3299,365,4,0
All King County,40-49,296609.58,01/13/21 - 01/19/21,2248,2326,329,10,0
All King County,50-59,270375.02,01/13/21 - 01/19/21,2036,2114,294,9,0
All King County,60-69,219475.51,01/13/21 - 01/19/21,1425,1486,165,13,0
All King County,70-79,122090.34,01/13/21 - 01/19/21,823,844,88,12,1
All King County,80+,61987.13,01/13/21 - 01/19/21,582,610,70,11,1
All King County,Unknown,0,01/13/21 - 01/19/21,10,10,0,0,0
All King County,0-9,257228.65,01/29/20 - 02/04/20,0,0,0,0,0
All King County,10-19,254148.03,01/29/20 - 02/04/20,0,0,0,0,0
All King County,20-29,207537.14,01/29/20 - 02/04/20,0,0,0,0,0
All King County,30-39,394262.07,01/29/20 - 02/04/20,2,0,0,0,0
All King County,40-49,296609.58,01/29/20 - 02/04/20,3,1,0,0,0
All King County,50-59,270375.02,01/29/20 - 02/04/20,0,0,0,0,0
All King County,60-69,219475.51,01/29/20 - 02/04/20,0,0,0,0,0
All King County,70-79,122090.34,01/29/20 - 02/04/20,0,0,0,1,0
All King County,80+,61987.13,01/29/20 - 02/04/20,0,0,0,0,0
All King County,Unknown,0,01/29/20 - 02/04/20,0,0,0,0,0
All King County,0-9,257228.65,02/05/20 - 02/11/20,0,0,0,0,0
All King County,10-19,254148.03,02/05/20 - 02/11/20,0,0,0,0,0
All King County,20-29,207537.14,02/05/20 - 02/11/20,1,1,0,0,0
All King County,30-39,394262.07,02/05/20 - 02/11/20,0,0,0,0,0
All King County,40-49,296609.58,02/05/20 - 02/11/20,0,0,0,0,0
All King County,50-59,270375.02,02/05/20 - 02/11/20,0,0,0,0,0
All King County,60-69,219475.51,02/05/20 - 02/11/20,0,0,0,0,0
All King County,70-79,122090.34,02/05/20 - 02/11/20,0,0,0,3,0
All King County,80+,61987.13,02/05/20 - 02/11/20,0,0,0,2,0
All King County,Unknown,0,02/05/20 - 02/11/20,0,0,0,0,0
All King County,0-9,257228.65,02/12/20 - 02/18/20,0,0,0,0,0
All King County,10-19,254148.03,02/12/20 - 02/18/20,0,0,0,0,0
All King County,20-29,207537.14,02/12/20 - 02/18/20,0,0,0,0,0
All King County,30-39,394262.07,02/12/20 - 02/18/20,0,0,0,0,0
All King County,40-49,296609.58,02/12/20 - 02/18/20,0,0,0,1,0
All King County,50-59,270375.02,02/12/20 - 02/18/20,0,0,0,0,0
All King County,60-69,219475.51,02/12/20 - 02/18/20,0,0,0,1,0
All King County,70-79,122090.34,02/12/20 - 02/18/20,0,0,0,1,0
All King County,80+,61987.13,02/12/20 - 02/18/20,0,0,0,2,0
All King County,Unknown,0,02/12/20 - 02/18/20,0,0,0,0,0
All King County,0-9,257228.65,02/19/20 - 02/25/20,0,0,0,0,0
All King County,10-19,254148.03,02/19/20 - 02/25/20,0,0,0,0,0
All King County,20-29,207537.14,02/19/20 - 02/25/20,0,0,0,0,0
All King County,30-39,394262.07,02/19/20 - 02/25/20,1,1,0,2,0
All King County,40-49,296609.58,02/19/20 - 02/25/20,0,0,0,1,0
All King County,50-59,270375.02,02/19/20 - 02/25/20,1,2,0,3,0
All King County,60-69,219475.51,02/19/20 - 02/25/20,0,0,0,3,0
All King County,70-79,122090.34,02/19/20 - 02/25/20,0,0,0,5,0
All King County,80+,61987.13,02/19/20 - 02/25/20,0,0,0,9,0
All King County,Unknown,0,02/19/20 - 02/25/20,0,0,0,0,0
All King County,0-9,257228.65,02/26/20 - 03/03/20,1,1,0,0,0
All King County,10-19,254148.03,02/26/20 - 03/03/20,1,1,1,0,0
All King County,20-29,207537.14,02/26/20 - 03/03/20,5,5,2,3,0
All King County,30-39,394262.07,02/26/20 - 03/03/20,6,6,2,0,0
All King County,40-49,296609.58,02/26/20 - 03/03/20,4,4,2,2,0
All King County,50-59,270375.02,02/26/20 - 03/03/20,12,12,5,6,2
All King County,60-69,219475.51,02/26/20 - 03/03/20,14,14,7,11,0
All King County,70-79,122090.34,02/26/20 - 03/03/20,10,10,8,12,5
All King County,80+,61987.13,02/26/20 - 03/03/20,9,9,6,18,6
All King County,Unknown,0,02/26/20 - 03/03/20,0,0,0,0,0
All King County,0-9,257228.65,03/04/20 - 03/10/20,139,140,0,0,0
