Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
All King County,2226300,867433,  38962.99,1730383,  77724.61,79167,   3555.99,4942,    221.98,1305,     58.62
Algona,3190,1138,  35673.98,1780,  55799.37,261,   8181.82,15,    470.22,2,     62.70
Auburn,71740,27336,  38104.27,45721,  63731.53,5176,   7214.94,354,    493.45,83,    115.70
Beaux Arts Village,300,166,  55333.33,305, 101666.67,10,   3333.33,1,    333.33,0,      0.00
Bellevue,145300,47535,  32715.07,79440,  54673.09,3364,   2315.21,232,    159.67,56,     38.54
Black Diamond,4525,1675,  37016.57,2622,  57944.75,113,   2497.24,3,     66.30,1,     22.10
Bothell,28570,9295,  32534.13,15781,  55236.26,728,   2548.13,41,    143.51,14,     49.00
Boulevard Park,3723,1527,  41015.31,2805,  75342.47,239,   6419.55,14,    376.04,2,     53.72
Bryn Mawr-Skyway,18347,6150,  33520.47,11661,  63558.07,807,   4398.54,40,    218.02,10,     54.50
Burien,52000,19456,  37415.38,36037,  69301.92,2684,   5161.54,191,    367.31,38,     73.08
Carnation,2220,537,  24189.19,868,  39099.10,63,   2837.84,1,     45.05,0,      0.00
Clyde Hill,3055,1147,  37545.01,2129,  69689.03,73,   2389.53,3,     98.20,1,     32.73
Cottage Lake,23955,6638,  27710.29,10542,  44007.51,375,   1565.44,17,     70.97,6,     25.05
Covington,20280,6480,  31952.66,10399,  51277.12,870,   4289.94,46,    226.82,9,     44.38
Des Moines,31580,12087,  38274.22,23897,  75671.31,1807,   5721.98,93,    294.49,20,     63.33
Duvall,7840,2389,  30471.94,3660,  46683.67,179,   2283.16,7,     89.29,1,     12.76
East Renton Highlands,11745,3847,  32754.36,6293,  53580.25,356,   3031.08,17,    144.74,4,     34.06
Enumclaw,12200,4961,  40663.93,8173,  66991.80,583,   4778.69,50,    409.84,29,    237.70
Fairwood,19428,5556,  28597.90,9216,  47436.69,663,   3412.60,35,    180.15,10,     51.47
Fall City,2313,643,  27799.39,1034,  44703.85,54,   2334.63,1,     43.23,0,      0.00
Federal Way,97840,35494,  36277.60,61128,  62477.51,6217,   6354.25,408,    417.01,90,     91.99
Hobart,7182,1974,  27485.38,3004,  41826.79,196,   2729.04,10,    139.24,3,     41.77
Hunts Point,420,219,  52142.86,467, 111190.48,21,   5000.00,0,      0.00,0,      0.00
Issaquah,37590,13211,  35144.99,26813,  71330.14,922,   2452.78,83,    220.80,52,    138.33
Kenmore,23320,7784,  33379.07,13318,  57109.78,534,   2289.88,51,    218.70,11,     47.17
Kent,129800,44874,  34571.65,75919,  58489.21,7560,   5824.35,449,    345.92,90,     69.34
Kirkland,88940,29421,  33079.60,49193,  55310.32,2096,   2356.64,168,    188.89,64,     71.96
Lake Forest Park,13250,4837,  36505.66,8969,  67690.57,263,   1984.91,17,    128.30,4,     30.19
Lake Holm,3254,784,  24093.42,1143,  35126.00,85,   2612.17,8,    245.85,0,      0.00
Lake Morton-Berrydale,11295,2618,  23178.40,3960,  35059.76,294,   2602.92,18,    159.36,4,     35.41
Lakeland North,12820,4121,  32145.09,6584,  51357.25,811,   6326.05,55,    429.02,8,     62.40
Lakeland South,13849,3760,  27149.97,6028,  43526.61,648,   4679.04,48,    346.60,8,     57.77
Maple Heights-Lake Desire,3682,985,  26751.77,1535,  41689.30,100,   2715.92,2,     54.32,1,     27.16
Maple Valley,26180,8147,  31119.17,12708,  48540.87,783,   2990.83,28,    106.95,3,     11.46
Medina,3245,1272,  39198.77,2379,  73312.79,53,   1633.28,2,     61.63,0,      0.00
Mercer Island,24470,10892,  44511.65,21330,  87167.96,458,   1871.68,26,    106.25,6,     24.52
Milton,1195,374,  31297.07,617,  51631.80,52,   4351.46,4,    334.73,2,    167.36
Mirrormont,3717,906,  24374.50,1398,  37610.98,66,   1775.63,8,    215.23,1,     26.90
Newcastle,12450,4113,  33036.14,7197,  57807.23,241,   1935.74,12,     96.39,3,     24.10
Normandy Park,6610,2662,  40272.31,5032,  76127.08,189,   2859.30,12,    181.54,3,     45.39
North Bend,6965,3068,  44048.82,5495,  78894.47,310,   4450.83,16,    229.72,12,    172.29
Pacific,6875,2152,  31301.82,3448,  50152.73,368,   5352.73,21,    305.45,4,     58.18
Ravensdale,1873,501,  26748.53,682,  36412.17,54,   2883.08,2,    106.78,0,      0.00
Redmond,65860,19120,  29031.28,30393,  46147.89,1209,   1835.71,105,    159.43,59,     89.58
Renton,104700,37254,  35581.66,65610,  62664.76,4818,   4601.72,292,    278.89,57,     54.44
Riverbend,2302,576,  25021.72,911,  39574.28,51,   2215.46,1,     43.44,1,     43.44
Sammamish,64410,18287,  28391.55,29337,  45547.28,1005,   1560.32,35,     54.34,9,     13.97
SeaTac,29180,11792,  40411.24,22376,  76682.66,2163,   7412.61,147,    503.77,22,     75.39
Seattle,747300,346124,  46316.61,813056, 108799.14,19692,   2635.09,1174,    157.10,344,     46.03
Shadow Lake,2286,570,  24934.38,900,  39370.08,63,   2755.91,2,     87.49,0,      0.00
Shoreline,56370,21898,  38846.90,43550,  77257.41,1972,   3498.31,175,    310.45,86,    152.56
Skykomish,205,68,  33170.73,92,  44878.05,0,      0.00,0,      0.00,0,      0.00
Snoqualmie,13670,4433,  32428.68,6976,  51031.46,303,   2216.53,9,     65.84,1,      7.32
Tukwila,20930,8679,  41466.79,19780,  94505.49,1468,   7013.86,73,    348.78,10,     47.78
Union Hill-Novelty Hill,22034,4640,  21058.36,7126,  32340.93,289,   1311.61,22,     99.85,7,     31.77
Vashon,10036,3005,  29942.21,4863,  48455.56,88,    876.84,2,     19.93,1,      9.96
White Center,15852,5486,  34607.62,9764,  61594.75,1160,   7317.69,75,    473.13,15,     94.63
Wilderness Rim,1457,415,  28483.18,643,  44131.78,44,   3019.90,3,    205.90,1,     68.63
Woodinville,12410,4062,  32731.67,6491,  52304.59,309,   2489.93,18,    145.04,2,     16.12
Yarrow Point,1040,509,  48942.31,994,  95576.92,31,   2980.77,1,     96.15,1,     96.15
