City,Result_Date,People_Tested,People_Tested_Rate
Algona,02/01/2020,0,0
Algona,02/02/2020,0,0
Algona,02/03/2020,0,0
Algona,02/04/2020,0,0
Algona,02/05/2020,0,0
Algona,02/06/2020,0,0
Algona,02/07/2020,0,0
Algona,02/08/2020,0,0
Algona,02/09/2020,0,0
Algona,02/10/2020,0,0
Algona,02/11/2020,0,0
Algona,02/12/2020,0,0
Algona,02/13/2020,0,0
Algona,02/14/2020,0,0
Algona,02/15/2020,0,0
Algona,02/16/2020,0,0
Algona,02/17/2020,0,0
Algona,02/18/2020,0,0
Algona,02/19/2020,0,0
Algona,02/20/2020,0,0
Algona,02/21/2020,0,0
Algona,02/22/2020,0,0
Algona,02/23/2020,0,0
Algona,02/24/2020,0,0
Algona,02/25/2020,0,0
Algona,02/26/2020,0,0
Algona,02/27/2020,0,0
Algona,02/28/2020,0,0
Algona,02/29/2020,0,0
Algona,03/01/2020,0,0
Algona,03/02/2020,0,0
Algona,03/03/2020,0,0
Algona,03/04/2020,0,0
Algona,03/05/2020,0,0
Algona,03/06/2020,0,0
Algona,03/07/2020,0,0
Algona,03/08/2020,0,0
Algona,03/09/2020,0,0
Algona,03/10/2020,0,0
Algona,03/11/2020,1,31.3381385145722
Algona,03/12/2020,0,0
Algona,03/13/2020,0,0
Algona,03/14/2020,3,94.0144155437167
Algona,03/15/2020,1,31.3381385145722
Algona,03/16/2020,1,31.3381385145722
Algona,03/17/2020,1,31.3381385145722
Algona,03/18/2020,0,0
Algona,03/19/2020,0,0
Algona,03/20/2020,2,62.6762770291445
Algona,03/21/2020,2,62.6762770291445
Algona,03/22/2020,0,0
Algona,03/23/2020,1,31.3381385145722
Algona,03/24/2020,1,31.3381385145722
Algona,03/25/2020,2,62.6762770291445
Algona,03/26/2020,3,94.0144155437167
Algona,03/27/2020,3,94.0144155437167
Algona,03/28/2020,5,156.690692572861
Algona,03/29/2020,3,94.0144155437167
Algona,03/30/2020,1,31.3381385145722
Algona,03/31/2020,3,94.0144155437167
Algona,04/01/2020,4,125.352554058289
Algona,04/02/2020,0,0
Algona,04/03/2020,1,31.3381385145722
Algona,04/04/2020,1,31.3381385145722
Algona,04/05/2020,0,0
Algona,04/06/2020,2,62.6762770291445
Algona,04/07/2020,0,0
Algona,04/08/2020,3,94.0144155437167
Algona,04/09/2020,3,94.0144155437167
Algona,04/10/2020,3,94.0144155437167
Algona,04/11/2020,0,0
Algona,04/12/2020,1,31.3381385145722
